id,term,part_of_speech,definition,pronunciation,synonyms,example,topic,subtopic,category,source_url
IELTS-VOCAB-0015,memorable,adjective,"Easily remembered; making a lasting, noteworthy impression.",,,Creating a memorable television advertisement ensures that consumers recognize brand packaging in retail supermarkets.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0016,magazine,noun,"A periodical publication containing articles, stories, and commercial advertisements.",,,The weekly editorial magazine published an investigative critique exposing deceptive marketing practices.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0017,peak viewing time,noun phrase,The hours when television viewership is at its highest point during the day.,,,Broadcasting networks charge premium advertising rates during evening peak viewing time due to maximum audience share.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0018,persuasive,adjective,Good at convincing someone to do or believe something through reasoning or appeal.,,,Effective marketing copy utilizes persuasive psychological rhetoric to convince consumers of a product's utility.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0019,pop-ups,noun (plural),Unsolicited browser windows or advertising banners that appear suddenly on screen.,,,Many internet users install ad-blocking extensions to prevent disruptive pop-ups from obscuring web page content.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0020,specific interest group,noun phrase,An audience or association united by a particular specialized interest.,,,Publishers launch niche trade journals tailored directly to a specific interest group of renewable energy engineers.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0021,specific market,noun phrase,"A targeted, distinct group of potential buyers or geographic demographic.",,,Automotive manufacturers engineer compact electric vehicles tailored to the logistical needs of a specific market.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0022,subtle,adjective,"Delicate, understated, and not obvious or conspicuous.",,,Product placement in mainstream cinematic movies offers brands a subtle means of influencing consumer preferences.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0023,to target an audience,phrase,To direct advertising or promotional appeals toward a specific group of consumers.,,,Digital advertisers utilize predictive demographic analytics to target an audience with tailored commercial promotions.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0024,TV commercials,noun,A concept or technique in commercial marketing and advertising: TV commercials.,,,Contemporary marketing research evaluates how the strategic use of TV commercials influences consumer purchasing decisions.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0025,up-to-date,adjective,"Incorporating the latest information, trends, or developments; current.",,,E-commerce websites must maintain up-to-date inventory listings to prevent customer dissatisfaction with out-of-stock items.,Advertising,Practice Exercises with Advertising Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/advertising-vocabulary-and-pronunciation/
IELTS-VOCAB-0028,ballet,noun,A recognized discipline within the visual and performing arts: ballet.,,,Cultural historians examine how mastering an expressive artistic discipline such as ballet enriches societal aesthetic heritage.,Art vs The Arts,What's the difference between Art and The Arts?,Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0029,calligraphy,noun,A recognized discipline within the visual and performing arts: calligraphy.,,,Cultural historians examine how mastering an expressive artistic discipline such as calligraphy enriches societal aesthetic heritage.,Art vs The Arts,What's the difference between Art and The Arts?,Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0033,drama,noun,A recognized discipline within the visual and performing arts: drama.,,,Cultural historians examine how mastering an expressive artistic discipline such as drama enriches societal aesthetic heritage.,Art vs The Arts,What's the difference between Art and The Arts?,Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0034,fashion design,noun,A recognized discipline within the visual and performing arts: fashion design.,,,Cultural historians examine how mastering an expressive artistic discipline such as fashion design enriches societal aesthetic heritage.,Art vs The Arts,What's the difference between Art and The Arts?,Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0035,film making,noun,A recognized discipline within the visual and performing arts: film making.,,,Cultural historians examine how mastering an expressive artistic discipline such as film making enriches societal aesthetic heritage.,Art vs The Arts,What's the difference between Art and The Arts?,Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0039,jewellery making,noun,A recognized discipline within the visual and performing arts: jewellery making.,,,Cultural historians examine how mastering an expressive artistic discipline such as jewellery making enriches societal aesthetic heritage.,Art vs The Arts,What's the difference between Art and The Arts?,Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0040,modern mediums,noun (plural),Contemporary technologies and non-traditional materials used in artistic expression.,,,Contemporary visual artists frequently blend digital animation and interactive modern mediums into exhibition installations.,Art vs The Arts,"Visual, Literature and Performing Arts",Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0041,opera,noun,A recognized discipline within the visual and performing arts: opera.,,,Cultural historians examine how mastering an expressive artistic discipline such as opera enriches societal aesthetic heritage.,Art vs The Arts,What's the difference between Art and The Arts?,Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0043,photography,noun,A recognized discipline within the visual and performing arts: photography.,,,Cultural historians examine how mastering an expressive artistic discipline such as photography enriches societal aesthetic heritage.,Art vs The Arts,What's the difference between Art and The Arts?,Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0044,poetry,noun,A recognized discipline within the visual and performing arts: poetry.,,,Cultural historians examine how mastering an expressive artistic discipline such as poetry enriches societal aesthetic heritage.,Art vs The Arts,What's the difference between Art and The Arts?,Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0045,reading literature,phrase,The academic and cultural pursuit of engaging with written literary works of merit.,,,Literary scholars argue that reading literature enhances cognitive empathy and critical analytical faculties in young minds.,Art vs The Arts,What's the difference between Art and The Arts?,Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0047,to provoke feeling,phrase,To elicit or stimulate an emotional reaction or profound psychological response.,,,The primary ambition of avant-garde visual performance is to provoke feeling and challenge entrenched societal dogmas.,Art vs The Arts,"Visual, Literature and Performing Arts",Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0048,to stimulate visual experience,phrase,"To engage, heighten, or provoke aesthetic visual perception.",,,Gallery curators arrange minimalist lighting to stimulate visual experience and accentuate subtle canvas textures.,Art vs The Arts,"Visual, Literature and Performing Arts",Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0049,traditional mediums,noun (plural),"Conventional artistic materials including oil paints, watercolor, sculpture, and drawing.",,,"Classical portrait painters often preserve traditional mediums such as egg tempera, charcoal sketching, and oil on linen.",Art vs The Arts,"Visual, Literature and Performing Arts",Detailed Lists for Word Power,https://ieltsliz.com/art-or-the-arts-whats-the-difference-useful-vocabulary/
IELTS-VOCAB-0052,new strain,noun,A genetic variant or subtype of a microorganism.,,,Virological sequencing laboratories identified a distinct new strain that exhibited altered spike protein structures.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0053,state of emergency,noun,A government declaration enabling exceptional powers to manage a major crisis.,,,The prime minister declared a national state of emergency to mobilize civil defense resources and expedite hospital funding.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0054,acceleration phase,noun,The period in an outbreak where infection rates rise rapidly.,,,Epidemiologists tracked the acceleration phase of the epidemic to anticipate peak intensive care admissions.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0055,acute respiratory problems,noun,"Severe, sudden pulmonary conditions impairing normal breathing.",,,Patients suffering from acute respiratory problems were promptly placed on high-flow supplemental oxygen therapy.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0056,alcohol based antimicrobial hand sanitiser,noun,An alcohol-containing liquid or gel used to eliminate infectious agents on hands.,,,Public transit facilities installed dispensers of alcohol based antimicrobial hand sanitiser to curb pathogen transmission.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0057,altruism,noun,Selfless concern and compassionate action for the wellbeing of others.,,,"During severe community lockdowns, acts of collective altruism helped deliver groceries to vulnerable elderly citizens.",Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0058,anxiety,noun,"A feeling of intense worry, nervousness, or unease.",,,Prolonged social isolation and health uncertainty caused a documented surge in clinical anxiety among young adults.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0059,asthma,noun,A chronic respiratory condition characterized by spasms in the bronchi of the lungs.,,,Individuals with chronic asthma were advised to take extra precautions because respiratory viruses can trigger severe attacks.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0060,community spread,noun,Transmission of an illness within a community with no known exposure source.,,,Health officials instituted strict local restrictions once untraceable community spread was verified in urban districts.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0061,contact tracing,noun,The process of identifying and monitoring people who have been in contact with an infected person.,,,Public health teams deployed rapid digital contact tracing to locate and notify individuals exposed to confirmed cases.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0062,contagious,adjective,Easily spread from one person or organism to another by direct or indirect contact.,,,"Because the emerging viral variant was exceptionally contagious, hospital infection-control protocols were heightened.",Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0063,curfew,noun,A regulation requiring people to remain indoors between specified evening hours.,,,Municipal authorities declared an overnight curfew to deter large public gatherings and reduce nighttime social mixing.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0064,death toll,noun,"The number of deaths resulting from a particular disease, disaster, or accident.",,,Statisticians analyzed excess mortality figures to assess the true global death toll resulting from the pandemic.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0065,epicentre,noun,The central point or focus of greatest disease activity or impact.,,,International humanitarian relief teams rushed medical supplies to the metropolitan city identified as the outbreak epicentre.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0066,face mask,noun,A protective covering worn over the nose and mouth to prevent viral transmission.,,,Wearing a multi-layered face mask in crowded indoor venues remains an effective method for reducing droplet dissemination.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0067,fomites,noun (plural),Inanimate objects or materials that are capable of transmitting infectious agents.,,,Hygienists emphasized routine surface sanitation because porous fomites can occasionally harbor infectious viral particles.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0068,herd immunity,noun,Resistance to the spread of an infectious disease within a population due to high immunity levels.,,,Immunologists calculated that vaccinating eighty percent of the general population was necessary to establish robust herd immunity.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0069,incubation period,noun,The period between exposure to an infection and the appearance of the first symptoms.,,,The novel virus exhibited an estimated incubation period of five to seven days before symptoms became clinically noticeable.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0070,large gatherings,noun (plural),Substantial assemblies of people in a single venue.,,,Public health guidelines strictly prohibited indoor large gatherings to minimize super-spreader events during the surge.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0071,lockdown,noun,An emergency protocol restricting movement and social mixing to contain disease spread.,,,The nationwide statutory lockdown successfully curbed viral transmission rates and alleviated strain on hospital intensive care units.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0072,misinformation,noun,"False, inaccurate, or misleading information spread regardless of intent to deceive.",,,Health agencies waged public awareness campaigns to debunk hazardous medical misinformation proliferating across social media.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0073,pandemic,noun,An outbreak of a disease prevalent over a whole country or the entire world.,,,The World Health Organization declared a global pandemic as the infectious contagion spread rapidly across multiple continents.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0074,patient zero,noun,The person identified as the first carrier of a communicable disease in an outbreak.,,,Epidemiological geneticists conducted extensive retrospective testing to trace patient zero of the initial regional outbreak cluster.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0075,persistent cough,noun,"A continuous, prolonged cough lasting several days or weeks.",,,Diagnostic criteria advised anyone exhibiting a high fever and a persistent cough to undergo immediate viral testing.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0076,physical distancing,noun,The practice of keeping a designated physical distance from others to prevent contagion.,,,Supermarkets marked queue lines two meters apart to encourage patrons to maintain rigorous physical distancing.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0077,pneumonia,noun,Lung inflammation caused by bacterial or viral infection in which air sacs fill with fluid.,,,Severe complications from the pulmonary infection can progress to bilateral pneumonia requiring mechanical ventilation.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0078,precautionary measures,noun (plural),Preventative actions taken in advance to prevent harm or disease transmission.,,,Workplaces instituted rigorous precautionary measures including daily temperature screenings and mandatory hand sanitization.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0079,precautions,noun (plural),"Measures taken in advance to prevent something dangerous, unpleasant, or inconvenient.",,,Sensible hygiene precautions such as frequent handwashing remain fundamental in preventing viral contamination.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0080,protective clothing,noun,Apparel specifically designed to shield wearers from infectious or hazardous biological substances.,,,Healthcare workers donned sterile protective clothing before entering high-risk biocontainment isolation wards.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0081,quarantine,noun,A state of enforced isolation to prevent the spread of infectious disease.,,,Overseas travelers arriving at international airports were placed in supervised hotel quarantine for a statutory duration.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0082,respiratory droplets,noun (plural),"Tiny moisture droplets expelled during breathing, speaking, coughing, or sneezing.",,,Covering one's mouth when coughing prevents the expulsion of microscopic respiratory droplets into shared ambient air.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0083,respiratory problems,noun (plural),Medical disorders affecting the organs and tissues involved in breathing.,,,Patients reporting sudden respiratory problems were prioritized for triage assessment and diagnostic imaging.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0084,severity,noun,"The intensity, seriousness, or harshness of an illness or condition.",,,Physicians evaluate oxygen saturation levels to gauge the clinical severity of acute respiratory tract infections.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0085,social distancing,noun,Maintaining physical space between individuals to reduce the spread of contagious illness.,,,Implementing community social distancing helped slow down viral transmission before comprehensive vaccines were approved.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0086,stockpiling,noun,"The accumulation of a large supply of goods for future use, often during crises.",,,Panic buying at commercial grocery chains led to widespread stockpiling of non-perishable canned food and paper goods.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0087,stringent,adjective,"Strict, precise, and rigorously binding in execution.",,,Civil aviation regulators enforced stringent health protocols to ensure sanitized passenger cabin air exchanges.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0088,super-spreader,noun,An individual or event that transmits an infectious disease to an unexpectedly large number of people.,,,An infected attendee at the crowded indoor concert triggered a super-spreader event resulting in dozens of downstream cases.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0089,surface transmission,noun,The spread of pathogens through contact with contaminated objects or touchpoints.,,,Laboratory experiments demonstrated that the probability of surface transmission could be drastically minimized by detergent cleaning.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0090,symptoms,noun (plural),Physical or mental features indicating a condition of disease.,,,"Common viral symptoms include sudden fever, physical exhaustion, loss of taste, and a dry irritated cough.",Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0091,to be hospitalised,phrase,To be admitted to a hospital for specialized medical treatment.,,,Elderly individuals with severe pulmonary complications were substantially more likely to be hospitalised for intensive care.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0092,to catch a disease,phrase,To become infected with an illness or pathogen.,,,Diligent adherence to basic hand hygiene reduces an individual's statistical susceptibility to catch a disease in public.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0093,to contain an outbreak,phrase,To prevent an infectious disease cluster from spreading to a wider population.,,,Epidemiological contact tracers worked diligently around the clock to contain an outbreak before community spread multiplied.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0094,to contaminate,phrase,"To make something impure, infected, or toxic by exposure to harmful substances.",,,Improper disposal of hazardous clinical bio-waste threatens to contaminate surrounding community water systems.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0095,to disinfect,phrase,To clean something with chemical agents to destroy bacteria and viruses.,,,Hospital housekeeping crews use high-grade chemical detergents to disinfect high-touch medical equipment daily.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0096,to ramp up,phrase,To substantially increase the production rate or capacity of an operation.,,,Global pharmaceutical alliances collaborated to ramp up mass manufacturing of novel messenger RNA vaccines.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0097,to self-isolate,phrase,To voluntarily isolate oneself at home when infected to avoid transmitting disease.,,,Citizens who tested positive for the virus were instructed to self-isolate at home until their contagiousness resolved.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0098,transmission rate,noun,The speed or frequency at which an infectious disease spreads through a population.,,,Introducing mandatory indoor mask requirements led to a demonstrable drop in the regional community transmission rate.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0099,utmost,adjective / noun,Most extreme; greatest; of the highest degree.,,,Emergency room medical staff treated incoming respiratory failure cases with the utmost professional diligence.,Coronavirus,More Useful Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0100,vaccine,noun,A biological preparation providing active acquired immunity against an infectious disease.,,,Widespread distribution of an efficacious vaccine represents the most durable long-term defense against epidemic pathogens.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
